Algorithm,Dataset,Time_Elapsed,Best_Value,Round,Category
sa,dag101_MEDIUM_0,2169.237617969513,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2179.240298271179,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2189.277833461761,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2199.2892282009125,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2209.2996702194214,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2219.316054344177,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2229.333337783813,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2239.3362379074097,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2249.3489525318146,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2259.36324095726,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2269.385227918625,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2279.403262615204,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2289.407562494278,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2299.411000728607,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2309.4209265708923,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2319.4361679553986,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2329.448410987854,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2339.457567691803,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2349.4591269493103,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2359.471880197525,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2369.491400718689,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2379.503154277801,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2389.518286943436,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2399.522156238556,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2409.5267918109894,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2419.547135829925,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2429.5642936229706,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2439.579780101776,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2449.5859236717224,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2459.5889110565186,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2469.597762107849,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2480.008444786072,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2490.012664079666,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2500.0230877399445,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2510.0343959331512,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2520.0447528362274,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2530.048775434494,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2540.057895421982,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2550.065138816833,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2560.078746557236,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2570.079493999481,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2580.0977988243103,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2590.110979795456,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2600.113059520721,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2610.11758518219,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2620.1301543712616,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2630.157812356949,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2640.1721777915955,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2650.175009727478,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2660.186698436737,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2670.1915967464447,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2680.2023701667786,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2690.2123086452484,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2700.2158303260803,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2710.231239795685,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2720.2351155281067,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2730.2425820827484,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2740.2477333545685,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2750.2587890625,1838485.3781000008,,dag101_MEDIUM
