Category,Method_A,Method_B,Avg_Jaccard_Similarity
dag303_MEDIUM,qpbo,sasa,0.15966343125563795
dag303_MEDIUM,qpbo,qp,0.0
dag303_MEDIUM,qpbo,qpbo,1.0
dag401_MEDIUM,greedy,greedy,1.0
dag401_MEDIUM,greedy,sghc,0.8997738188324665
dag401_MEDIUM,greedy,sa,0.9629327506332906
dag401_MEDIUM,greedy,sasa,0.9225822861493104
dag401_MEDIUM,greedy,qp,0.8288258580503896
dag401_MEDIUM,greedy,qpbo,0.6091799547086946
dag401_MEDIUM,sghc,greedy,0.8997738188324665
dag401_MEDIUM,sghc,sghc,1.0
dag401_MEDIUM,sghc,sa,0.9144915101433054
dag401_MEDIUM,sghc,sasa,0.9219369927290751
dag401_MEDIUM,sghc,qp,0.8784347585684417
dag401_MEDIUM,sghc,qpbo,0.6458785187821833
dag401_MEDIUM,sa,greedy,0.9629327506332906
dag401_MEDIUM,sa,sghc,0.9144915101433054
dag401_MEDIUM,sa,sa,1.0
dag401_MEDIUM,sa,sasa,0.9358794620676351
dag401_MEDIUM,sa,qp,0.8473630314048034
dag401_MEDIUM,sa,qpbo,0.6209546327151984
dag401_MEDIUM,sasa,greedy,0.9225822861493104
dag401_MEDIUM,sasa,sghc,0.9219369927290751
dag401_MEDIUM,sasa,sa,0.9358794620676351
dag401_MEDIUM,sasa,sasa,1.0
dag401_MEDIUM,sasa,qp,0.8745491280478697
dag401_MEDIUM,sasa,qpbo,0.6378453101873012
dag401_MEDIUM,qp,greedy,0.8288258580503896
dag401_MEDIUM,qp,sghc,0.8784347585684417
dag401_MEDIUM,qp,sa,0.8473630314048034
dag401_MEDIUM,qp,sasa,0.8745491280478697
dag401_MEDIUM,qp,qp,1.0
dag401_MEDIUM,qp,qpbo,0.6829486378684532
dag401_MEDIUM,qpbo,greedy,0.6091799547086946
dag401_MEDIUM,qpbo,sghc,0.6458785187821833
dag401_MEDIUM,qpbo,sa,0.6209546327151984
dag401_MEDIUM,qpbo,sasa,0.6378453101873012
dag401_MEDIUM,qpbo,qp,0.6829486378684532
dag401_MEDIUM,qpbo,qpbo,1.0
dag402_MEDIUM,greedy,greedy,1.0
dag402_MEDIUM,greedy,sghc,0.6341340662097538
dag402_MEDIUM,greedy,sa,0.8251917324085386
dag402_MEDIUM,greedy,sasa,0.7007043649100296
dag402_MEDIUM,greedy,qp,0.5959074288737819
dag402_MEDIUM,greedy,qpbo,0.2764049554232431
dag402_MEDIUM,sghc,greedy,0.6341340662097538
dag402_MEDIUM,sghc,sghc,1.0
dag402_MEDIUM,sghc,sa,0.6832978648909286
dag402_MEDIUM,sghc,sasa,0.7360043936876824
dag402_MEDIUM,sghc,qp,0.7124300622803724
dag402_MEDIUM,sghc,qpbo,0.3160876234059996
dag402_MEDIUM,sa,greedy,0.8251917324085386
dag402_MEDIUM,sa,sghc,0.6832978648909286
dag402_MEDIUM,sa,sa,1.0
dag402_MEDIUM,sa,sasa,0.7615170345812792
dag402_MEDIUM,sa,qp,0.6481362196205099
dag402_MEDIUM,sa,qpbo,0.2849002270084704
dag402_MEDIUM,sasa,greedy,0.7007043649100296
dag402_MEDIUM,sasa,sghc,0.7360043936876824
dag402_MEDIUM,sasa,sa,0.7615170345812792
dag402_MEDIUM,sasa,sasa,1.0
dag402_MEDIUM,sasa,qp,0.7292049582431638
dag402_MEDIUM,sasa,qpbo,0.3045861859569577
dag402_MEDIUM,qp,greedy,0.5959074288737819
dag402_MEDIUM,qp,sghc,0.7124300622803724
dag402_MEDIUM,qp,sa,0.6481362196205099
dag402_MEDIUM,qp,sasa,0.7292049582431638
dag402_MEDIUM,qp,qp,1.0
dag402_MEDIUM,qp,qpbo,0.336849206804152
dag402_MEDIUM,qpbo,greedy,0.2764049554232431
dag402_MEDIUM,qpbo,sghc,0.3160876234059996
dag402_MEDIUM,qpbo,sa,0.2849002270084704
dag402_MEDIUM,qpbo,sasa,0.3045861859569577
dag402_MEDIUM,qpbo,qp,0.336849206804152
dag402_MEDIUM,qpbo,qpbo,1.0
dag403_MEDIUM,greedy,greedy,1.0
dag403_MEDIUM,greedy,sghc,0.19604396939173427
dag403_MEDIUM,greedy,sa,0.22680118526782433
dag403_MEDIUM,greedy,sasa,0.21285700134309693
dag403_MEDIUM,greedy,qp,0.06590474381935035
dag403_MEDIUM,greedy,qpbo,0.0017922085749101293
dag403_MEDIUM,sghc,greedy,0.19604396939173427
dag403_MEDIUM,sghc,sghc,1.0
dag403_MEDIUM,sghc,sa,0.5594169028819042
dag403_MEDIUM,sghc,sasa,0.45939770085153153
dag403_MEDIUM,sghc,qp,0.20923313448268077
dag403_MEDIUM,sghc,qpbo,0.0034340004391307344
dag403_MEDIUM,sa,greedy,0.22680118526782433
dag403_MEDIUM,sa,sghc,0.5594169028819042
dag403_MEDIUM,sa,sa,1.0
dag403_MEDIUM,sa,sasa,0.4407759864473264
dag403_MEDIUM,sa,qp,0.20348794759444663
dag403_MEDIUM,sa,qpbo,0.0035263876819470845
dag403_MEDIUM,sasa,greedy,0.21285700134309693
dag403_MEDIUM,sasa,sghc,0.45939770085153153
dag403_MEDIUM,sasa,sa,0.4407759864473264
dag403_MEDIUM,sasa,sasa,1.0
dag403_MEDIUM,sasa,qp,0.24277552356973872
dag403_MEDIUM,sasa,qpbo,0.005121159861601835
dag403_MEDIUM,qp,greedy,0.06590474381935035
dag403_MEDIUM,qp,sghc,0.20923313448268077
dag403_MEDIUM,qp,sa,0.20348794759444663
dag403_MEDIUM,qp,sasa,0.24277552356973872
dag403_MEDIUM,qp,qp,0.6666666666666666
dag403_MEDIUM,qp,qpbo,0.00543838705398594
dag403_MEDIUM,qpbo,greedy,0.0017922085749101293
dag403_MEDIUM,qpbo,sghc,0.0034340004391307344
dag403_MEDIUM,qpbo,sa,0.0035263876819470845
dag403_MEDIUM,qpbo,sasa,0.005121159861601835
dag403_MEDIUM,qpbo,qp,0.00543838705398594
dag403_MEDIUM,qpbo,qpbo,0.6666666666666666
